시군구코드,지정년도,지정번호,신청일자,지정일자,업소명,소재지도로명,소재지지번,허가(신고)번호,업태명,주된음식,영업장면적(㎡),행정동명,급수시설구분,소재지전화번호
3070000,2020,10,20200929,20201124,만복식당,서울특별시 성북구 개운사길 34 지1층 (안암동5가),서울특별시 성북구 안암동5가  15번지 14호  ,3070000-101-2019-00234,한식,삼겹살,108.6,안암동,,
3070000,2020,11,20200929,20201124,원진노기순청국장,서울특별시 성북구 안암로9가길 94 1층 (안암동5가),서울특별시 성북구 안암동5가  136번지 12호  ,3070000-101-2019-00312,한식,청국장,129.85,안암동,,02  925 5733
3070000,2020,4,20200929,20201124,약산 전통육개장 흑염소 전문점,서울특별시 성북구 솔샘로 71 (정릉동1층),서울특별시 성북구 정릉동  290번지 54호  1층,3070000-101-2010-00141,한식,돼지갈비,85.01,정릉제4동,상수도전용,02  982 5070
3070000,2020,2,20200929,20201124,녹천,서울특별시 성북구 동소문로2길 51 (동소문동2가),서울특별시 성북구 동소문동2가  153번지  ,3070000-101-2007-00190,한식,동태탕,105.6,삼선동,상수도전용,02 7478005
3070000,2020,2,20200929,20201124,녹천,서울특별시 성북구 동소문로2길 51 (동소문동2가),서울특별시 성북구 동소문동2가  153번지  ,3070000-101-2007-00190,한식,동태탕,105.6,삼선동,상수도전용,02 7478005
3070000,2020,7,20200929,20201124,제주고깃집,서울특별시 성북구 보문로 144 (보문동1가 외 1필지 보문뉴타운),서울특별시 성북구 보문동1가  9번지 8호  외 1필지 보문뉴타운,3070000-101-2017-00052,식육(숯불구이),오겹살,122.1,보문동,,
3070000,2020,7,20200929,20201124,우리할매떡볶이 정릉점,서울특별시 성북구 보문로 144 (보문동1가 외 1필지 보문뉴타운),서울특별시 성북구 보문동1가  9번지 8호  외 1필지 보문뉴타운,3070000-101-2017-00052,식육(숯불구이),오겹살,122.1,보문동,,
3070000,2020,6,20200929,20201124,김태완의초밥좋은날,서울특별시 성북구 동소문로20길 28-4 (동소문동5가 2층),서울특별시 성북구 동소문동5가  107번지  ,3070000-101-2012-00208,일식,초밥생선회,95,삼선동,,02  923 8628
3070000,2019,89,20190927,20191120,중경당,서울특별시 성북구 창경궁로43길 30 1층 (성북동1가),서울특별시 성북구 성북동1가  87번지  ,3070000-101-2018-00163,중식,,72.42,성북동,,
3070000,2019,87,20190926,20191120,유정식당,서울특별시 성북구 북악산로29길 21 (종암동),서울특별시 성북구 종암동  33번지 78호  ,3070000-101-1995-01990,한식,,374.27,종암동,상수도전용,02 9286256
3070000,2018,90,20180914,20181116,미운오리,서울특별시 성북구 보문로 123 (보문동2가(1층)),서울특별시 성북구 보문동2가  104번지  (1층),3070000-101-2010-00348,한식,오리고기,112.77,보문동,,02  923 9999
3070000,2018,98,20180914,20181116,내가찜한닭,서울특별시 성북구 고려대로24길 32 칠보빌딩 2층 (안암동5가),서울특별시 성북구 안암동5가  102번지 87호  칠보빌딩,3070000-101-2016-00109,한식,찜닭,166.22,안암동,,
3070000,2018,98,20180914,20181116,내가찜한닭,서울특별시 성북구 고려대로24길 32 칠보빌딩 2층 (안암동5가),서울특별시 성북구 안암동5가  102번지 87호  칠보빌딩,3070000-101-2016-00109,한식,찜닭,166.22,안암동,,
3070000,2018,89,20180914,20181116,태조감자국,서울특별시 성북구 보문로34길 43 (동선동1가),서울특별시 성북구 동선동1가  49번지 0호  ,3070000-101-1999-09224,한식,감자탕,115,동선동,상수도전용,02  921 7667
3070000,2017,93,20171026,20171121,전주완산골 고대본점,서울특별시 성북구 고려대로 84 (안암동5가),서울특별시 성북구 안암동5가  146번지 31호  ,3070000-101-2003-00101,한식,,118.8,안암동,상수도전용,02 9535311
3070000,2017,96,20171026,20171121,매스플레이트 안암본점,서울특별시 성북구 개운사길 18 (안암동5가 2층),서울특별시 성북구 안암동5가  101번지 27호  ,3070000-101-2012-00071,기타,,158.4,안암동,,02  921 4940
3070000,2017,94,20171026,20171121,미각 고대1호점,서울특별시 성북구 인촌로24길 44 (안암동5가),서울특별시 성북구 안암동5가  102번지 36호  ,3070000-101-2015-00125,기타,양꼬치,313.13,안암동,,
3070000,2017,95,20171026,20171121,모심,서울특별시 성북구 개운사길 8 3층 (안암동5가),서울특별시 성북구 안암동5가  101번지 3호  3층,3070000-101-2008-00208,한식,,379.99,안암동,상수도전용,02  953 0333
3070000,2017,89,20171020,20171121,칠백집,서울특별시 성북구 보문로30길 39 1층 (동선동2가),서울특별시 성북구 동선동2가  57번지  ,3070000-101-2001-11127,한식,,25.38,동선동,상수도전용,02 9263273
3070000,2017,89,20171020,20171121,칠백집서울껍데기,서울특별시 성북구 보문로30길 39 1층 (동선동2가),서울특별시 성북구 동선동2가  57번지  ,3070000-101-2001-11127,한식,,25.38,동선동,상수도전용,02 9263273
3070000,2017,89,20171020,20171121,칠백집,서울특별시 성북구 보문로30길 39 1층 (동선동2가),서울특별시 성북구 동선동2가  57번지  ,3070000-101-2001-11127,한식,,25.38,동선동,상수도전용,02 9263273
3070000,2017,89,20171020,20171121,칠백집서울껍데기,서울특별시 성북구 보문로30길 39 1층 (동선동2가),서울특별시 성북구 동선동2가  57번지  ,3070000-101-2001-11127,한식,,25.38,동선동,상수도전용,02 9263273
3070000,2017,91,20171020,20171121,보리보리 정릉점,서울특별시 성북구 솔샘로1길 19 (정릉동),서울특별시 성북구 정릉동  674번지 3호  ,3070000-101-2011-00064,한식,,162,정릉제1동,,
3070000,2017,92,20171018,20171121,성북동사람들박앤윤,서울특별시 성북구 대사관로 40 지상123층 (성북동),서울특별시 성북구 성북동  330번지 105호  ,3070000-101-2015-00205,한식,,423.74,성북동,,
3070000,2017,92,20171018,20171121,성북동사람들박앤윤,서울특별시 성북구 대사관로 40 지상123층 (성북동),서울특별시 성북구 성북동  330번지 105호  ,3070000-101-2015-00205,한식,,423.74,성북동,,
3070000,2016,93,20160930,20161122,만선참치 본점,서울특별시 성북구 동소문로20길 29-7 (동선동1가태백빌딩),서울특별시 성북구 동선동1가  4번지 10호  태백빌딩,3070000-101-2005-00351,회집,참치,50.16,동선동,상수도전용,02 9263733
3070000,2016,92,20160928,20161122,창신동매운족발 석계점,서울특별시 성북구 한천로78길 52 (석관동),서울특별시 성북구 석관동  131번지 10호  ,3070000-101-2004-00183,한식,족발,56.1,석관동,상수도전용,02  959 8033
3070000,2016,91,20160926,20161122,삼대족발(석관점),서울특별시 성북구 한천로 595 (석관동(지하178.08㎡지상1층 184.33㎡지상2층 199.45㎡)),서울특별시 성북구 석관동  189번지 6호  (지하178.08㎡지상1층 184.33㎡지상2층 199.45㎡),3070000-101-2011-00133,한식,족발,576.98,석관동,,
3070000,2016,91,20160926,20161122,삼대족발(석관점),서울특별시 성북구 한천로 595 (석관동(지하178.08㎡지상1층 184.33㎡지상2층 199.45㎡)),서울특별시 성북구 석관동  189번지 6호  (지하178.08㎡지상1층 184.33㎡지상2층 199.45㎡),3070000-101-2011-00133,한식,족발,576.98,석관동,,
3070000,2016,91,20160926,20161122,삼대족발(석관점),서울특별시 성북구 한천로 595 (석관동(지하178.08㎡지상1층 184.33㎡지상2층 199.45㎡)),서울특별시 성북구 석관동  189번지 6호  (지하178.08㎡지상1층 184.33㎡지상2층 199.45㎡),3070000-101-2011-00133,한식,족발,576.98,석관동,,
3070000,2015,9,20151005,20151208,전원주의손큰할매순대국 국민대점,서울특별시 성북구 정릉로 169 1층 (정릉동),서울특별시 성북구 정릉동  675번지 1호  ,3070000-101-2014-00286,한식,순대국,239.04,정릉제3동,,
3070000,2015,1,20151002,20151208,진 양대창,서울특별시 성북구 보문로 149 1층 (삼선동5가),서울특별시 성북구 삼선동5가  291번지 1호  1층,3070000-101-2015-00170,한식,고기,103.5,동산동,,
3070000,2015,5,20151002,20151208,혜화면옥,서울특별시 성북구 보문로 193-1 (삼선동4가 1층),서울특별시 성북구 삼선동4가  345번지 1호  1층,3070000-101-2014-00342,한식,냉면,50.54,삼선동,상수도전용,
3070000,2015,8,20151002,20151208,참이맛감자탕 답십리점,서울특별시 성북구 솔샘로25길 20 상가2동 101호 (정릉동 정릉풍림아이원),서울특별시 성북구 정릉동  239번지  정릉풍림아이원 상가2동-101,3070000-101-2014-00026,탕류(보신용),감자탕,46.8,정릉제4동,상수도전용,02  912 2001
3070000,2015,1,20151002,20151208,화통집 고대안암점,서울특별시 성북구 보문로 149 1층 (삼선동5가),서울특별시 성북구 삼선동5가  291번지 1호  1층,3070000-101-2015-00170,한식,소머리국밥,103.5,삼선동,,
3070000,2015,1,20151002,20151208,화통집 고대안암점,서울특별시 성북구 보문로 149 1층 (삼선동5가),서울특별시 성북구 삼선동5가  291번지 1호  1층,3070000-101-2015-00170,한식,소머리국밥,103.5,삼선동,,
3070000,2015,4,20151002,20151208,가부,서울특별시 성북구 보문로 182 1층 (삼선동4가),서울특별시 성북구 삼선동4가  351번지 3호  1층,3070000-101-2015-00139,중국식,자장면,135.9,삼선동,,
3070000,2015,7,20151002,20151208,해미수산,서울특별시 성북구 종암로21길 53 (종암동1층),서울특별시 성북구 종암동  83번지 6호  1층,3070000-101-2010-00214,한식,회정식,108,종암동,상수도전용,02  922 7471
3070000,2015,11,20151002,20151208,장운산꽃게,서울특별시 성북구 오패산로 12 (하월곡동2627),서울특별시 성북구 하월곡동  67번지 13호  2627,3070000-101-1996-02121,한식,꽃게무침,47.94,하월곡동,상수도전용,02 9427735
3070000,2015,6,20151002,20151208,대왕참치,서울특별시 성북구 종암로19길 6 2층 (종암동),서울특별시 성북구 종암동  70번지 1호  ,3070000-101-2014-00043,일식,참치회 정식,122.1,종암동,상수도전용,02  921 3785
3070000,2015,10,20151002,20151208,석계 창신동 매운족발 1호점,서울특별시 성북구 한천로78길 57 (석관동지상1층),서울특별시 성북구 석관동  133번지 57호  지상1층,3070000-101-2010-00329,한식,매운족발,85.49,석관동,,02  966 9923
3070000,2014,7,20141029,20141218,조선화로구이,서울특별시 성북구 북악산로 851 상가동 204205206호 (정릉동 e-편한세상),서울특별시 성북구 정릉동  1035번지 6호 상가 e-편한세상-204~206,3070000-101-2012-00236,한식,,143.21,정릉동,,
3070000,2014,10,20141029,20141218,돈까스캠프,서울특별시 성북구 솔샘로 73-8 (정릉동),서울특별시 성북구 정릉동  292번지 12호  ,3070000-101-2012-00315,경양식,,163.57,정릉동,,
3070000,2014,7,20141029,20141218,조선화로구이,서울특별시 성북구 북악산로 851 상가동 204205206호 (정릉동 e-편한세상),서울특별시 성북구 정릉동  1035번지 6호 상가 e-편한세상-204~206,3070000-101-2012-00236,한식,,143.21,정릉동,,
3070000,2014,2,20141029,20141218,씽푸,서울특별시 성북구 동소문로10길 6 (동소문동3가),서울특별시 성북구 동소문동3가  25번지  ,3070000-101-2013-00161,중국식,,66,동수문동,,
3070000,2014,3,20141029,20141218,어촌낙지아구찜,서울특별시 성북구 성북로4길 52 (돈암동 한신한진@스포츠센타 5105호),서울특별시 성북구 돈암동  609번지 1호  한신한진@스포츠센타 5105호,3070000-101-2013-00113,한식,,66.78,돈암동,,02  927 6095
3070000,2014,5,20141029,20141218,미각아구동태탕,서울특별시 성북구 보국문로 54-1 (정릉동(지상1층)),서울특별시 성북구 정릉동  401번지 2호  (지상1층),3070000-101-2011-00295,기타,,125.3,정릉동,,
3070000,2014,5,20141029,20141218,미각아구동태탕,서울특별시 성북구 보국문로 54-1 (정릉동(지상1층)),서울특별시 성북구 정릉동  401번지 2호  (지상1층),3070000-101-2011-00295,기타,,125.3,정릉동,,
3070000,2014,8,20141029,20141218,대포항회집,서울특별시 성북구 장월로1길 106 (하월곡동외2필지 (지상1층)),서울특별시 성북구 하월곡동  20번지 4호  외2필지 (지상1층),3070000-101-2008-00140,기타,,145,하월곡동,상수도전용,
3070000,2014,8,20141029,20141218,대포항회집,서울특별시 성북구 장월로1길 106 (하월곡동외2필지 (지상1층)),서울특별시 성북구 하월곡동  20번지 4호  외2필지 (지상1층),3070000-101-2008-00140,기타,,145,하월곡동,상수도전용,
3070000,2014,11,20141029,20141218,성가네낙지마을,서울특별시 성북구 화랑로 236 (석관동),서울특별시 성북구 석관동  343번지 19호  ,3070000-101-2013-00145,한식,,269.92,석관동,,
3070000,2013,13,20131104,20131223,채움늘하노이,서울특별시 성북구 정릉로9길 36 (정릉동),서울특별시 성북구 정릉동  852번지 12호  ,3070000-101-2001-11335,한식,쌀국수,115.5,정릉동,상수도전용,02  910 8182
3070000,2013,1,20131104,20131223,한근더한근,서울특별시 성북구 한천로 605 101호 (장위동 태산빌딩),서울특별시 성북구 장위동  45번지 1호  ,3070000-101-2000-10095,한식,순대국,257.88,장위동,상수도전용,02 9188999
3070000,2013,7,20131104,20131223,오샬,서울특별시 성북구 인촌로24길 6 (안암동5가(3층)),서울특별시 성북구 안암동5가  146번지 5호  (3층),3070000-101-2008-00324,경양식,인도요리,135.9,안암동,상수도전용,260846527
3070000,2012,6,20130121,20121206,청록원,서울특별시 성북구 솔샘로1길 19 (정릉동),서울특별시 성북구 정릉동  674번지 3호  ,3070000-101-2011-00161,중식,갈비,95.7,정릉동,,02  955 0550
3070000,2012,9,20121203,20121206,초림정,서울특별시 성북구 동소문로 181 (돈암동 101호),서울특별시 성북구 돈암동  48번지 4호  ,3070000-101-2012-00011,중국식,탕수육,247.5,돈암동,,02  953 8808
3070000,2012,3,20121203,20121206,동해해물탕,서울특별시 성북구 삼선교로 75-1 (삼선동4가(1층)),서울특별시 성북구 삼선동4가  312번지  (1층),3070000-101-2010-00302,한식,해물탕,65.73,삼선동,,02  929 9615
3070000,2011,4,20110930,20111114,해송,서울특별시 성북구 동소문로20길 37-10 (동선동1가외1필지(70) 2층),서울특별시 성북구 동선동1가  69번지  외1필지(70) 2층,3070000-101-2006-00176,일식,매운탕,74.58,동선동,상수도전용,
3070000,2010,1018,20100610,20100727,베나레스,서울특별시 성북구 인촌로24길 27 (안암동5가),서울특별시 성북구 안암동5가  102번지 59호  ,3070000-101-2008-00151,경양식,카레,78.54,안암동,상수도전용,02  921 9982
3070000,2010,1021,20100610,20100727,맛깔참죽 정릉점,서울특별시 성북구 정릉로 276 (정릉동),서울특별시 성북구 정릉동  139번지 3호  ,3070000-101-2009-00374,한식,죽,32.59,정릉동,상수도전용,
3070000,2010,1012,20100610,20100727,삽교원조두리곱창 5호점,서울특별시 성북구 장월로1길 57 (상월곡동),서울특별시 성북구 상월곡동  57번지 3호  ,3070000-101-2005-00153,회집,생선회,92.4,상월곡동,,02 9114881
3070000,2010,1007,20100610,20100727,안동할매청국장,서울특별시 성북구 성북로5길 9-3 (성북동1가(1층)),서울특별시 성북구 성북동1가  35번지 8호  (1층),3070000-101-1998-06462,한식,청국장,99,성북동,상수도전용,02 7438104
3070000,2010,1014,20100610,20100727,무등산참숯갈비,서울특별시 성북구 개운사길 15 (안암동5가왕림빌딩1층),서울특별시 성북구 안암동5가  101번지 16호  왕림빌딩1층,3070000-101-2007-00317,한식,소갈비,181.8,안암동,상수도전용,02 9250062
3070000,2010,1010,20100610,20100727,섭지코지,서울특별시 성북구 성북로 118-5 (성북동),서울특별시 성북구 성북동  97번지 24호  ,3070000-101-2003-00257,회집,초밥생선회,203.58,성북동,상수도전용,236735600
3070000,2010,1009,20100610,20100727,화로구이조선,서울특별시 성북구 종암로 129 (종암동),서울특별시 성북구 종암동  3번지 1342호  ,3070000-101-2003-00189,한식,돼지갈비,704,종암동,상수도전용,02 9538805
3070000,2009,919,20090605,20090727,가재야,서울특별시 성북구 보문로 163 (삼선동5가),서울특별시 성북구 삼선동5가  298번지 14호  ,3070000-101-2007-00144,기타,바닷가재,132,삼선동5가,상수도전용,02 9535545
3070000,2009,918,20090605,20090727,한우설렁탕,서울특별시 성북구 삼선교로 85 (삼선동4가(1층)),서울특별시 성북구 삼선동4가  332번지  (1층),3070000-101-2008-00311,한식,한정식,346.04,삼선동,상수도전용,02  926 7766
3070000,2009,921,20090605,20090727,더씨,서울특별시 성북구 개운사길 8 (안암동5가 외5필지 2층),서울특별시 성북구 안암동5가  101번지 3호  ,3070000-101-2008-00043,중국식,중식세트메뉴,398.07,안암동,상수도전용,02  929 1259
3070000,2009,903,20090605,20090727,본죽&비빔밥,서울특별시 성북구 고려대로 90 (안암동5가),서울특별시 성북구 안암동5가  146번지 18호  ,3070000-101-1998-06440,한식,죽,54.7,종암동,상수도전용,02 9217921
3070000,2009,922,20090605,20090727,향나무집,서울특별시 성북구 인촌로22길 5 (안암동5가),서울특별시 성북구 안암동5가  146번지 7호  ,3070000-101-2008-00073,한식,소갈비등심,239.67,안암동,상수도전용,02  929 0720
3070000,2009,917,20090605,20090727,미향투,서울특별시 성북구 동소문로17길 1 (동소문동6가(지상1층)),서울특별시 성북구 동소문동6가  107번지  (지상1층),3070000-101-2008-00087,한식,곰탕,209.36,동선동,상수도전용,260825506
3070000,2009,923,20090605,20090727,본죽 보문역점,서울특별시 성북구 장위로 145 (장위동),서울특별시 성북구 장위동  74번지 50호  ,3070000-101-2007-00030,한식,죽,261.97,보문동,상수도전용,02 916 7733
3070000,2009,923,20090605,20090727,천수촌,서울특별시 성북구 장위로 145 2층 (장위동),서울특별시 성북구 장위동  74번지 50호  2층,3070000-101-2007-00030,한식,활어회,261.97,장위제1동,상수도전용,02 916 7733
3070000,2008,821,20080701,20080829,순두부와빈대떡마을,,서울특별시 성북구 동선동1가  46번지 1호  ,3070000-101-2006-00245,한식,보쌈청국장,192.63,동선동,상수도전용,02 9294113
3070000,2008,820,20080701,20080829,조마루 보문점,서울특별시 성북구 화랑로 262 (석관동),서울특별시 성북구 석관동  238번지 4호  ,3070000-101-1991-04063,한식,감자탕,95.3,석관동,상수도전용,209696953
3070000,2008,821,20080701,20080829,최네집부대찌개,,서울특별시 성북구 동선동1가  46번지 1호  ,3070000-101-2006-00245,한식,보쌈청국장,192.63,동선동,상수도전용,02 9294113
3070000,2006,18,20060615,20060818,(주)한스갤러리앤코,서울특별시 성북구 정릉로10길 127 (정릉동),서울특별시 성북구 정릉동  918번지 1호  ,3070000-101-2005-00191,경양식,파스타피자스테이크,211.2,정릉제3동,상수도전용,02941 1141
3070000,2006,11,20060615,20060818,이웃사촌,서울특별시 성북구 화랑로 280 (석관동),서울특별시 성북구 석관동  220번지 1호  ,3070000-101-2003-00731,한식,이웃사촌정식,828.35,석관동,상수도전용,02 9652547
3070000,2006,18,20060615,20060818,(주)한스갤러리앤코,서울특별시 성북구 정릉로10길 127 (정릉동),서울특별시 성북구 정릉동  918번지 1호  ,3070000-101-2005-00191,경양식,파스타피자스테이크,211.2,정릉제3동,상수도전용,02941 1141
3070000,2006,6,20060614,20060818,선창연가,,서울특별시 성북구 동선동4가  87번지  ,3070000-101-2004-00314,한식,삼합,226.48,동선동,상수도전용,02 9294994
3070000,2005,1,20050715,20050914,춘향골남원추어탕 성북구청점,서울특별시 성북구 보문로 167 (삼선동5가),서울특별시 성북구 삼선동5가  298번지 10호  ,3070000-101-2003-00476,한식,추어탕,99,삼선동,상수도전용,02 9536688
3070000,2004,25,20040707,20040707,등촌샤브칼국수,서울특별시 성북구 개운사길 11 (안암동5가),서울특별시 성북구 안암동5가  101번지 17호  ,3070000-101-2003-00632,한식,소고기샤브샤브,151.8,안암동,상수도전용,02 9295538
3070000,2004,50,20040707,20040707,거산프라자다원,서울특별시 성북구 종암로 18 (종암동),서울특별시 성북구 종암동  30번지  ,3070000-101-2003-00252,일식,회정식,255.66,종암동,상수도전용,02 9110346
3070000,2004,19,20040707,20040707,원조마포소금구이,서울특별시 성북구 화랑로40길 55 (석관동),서울특별시 성북구 석관동  168번지 4호  ,3070000-101-2002-00603,한식,삼겹살,92.4,석관동,,02   9698292
3070000,2004,53,20040707,20040707,반월,서울특별시 성북구 월곡로 29 (종암동),서울특별시 성북구 종암동  8번지 26호  ,3070000-101-2003-00524,한식,한정식,145.9,종암동,상수도전용,02 9410308
3070000,2003,10,20030825,20030825,봉추찜닭,서울특별시 성북구 동소문로20길 37-22 1층 (동선동1가),서울특별시 성북구 동선동1가  62번지  ,3070000-101-1998-09514,한식,안동찜닭,82.21,동선동,상수도전용,02 9289381
3070000,2003,10,20030825,20030825,서강껍데기소금구이,서울특별시 성북구 동소문로20길 37-22 1층 (동선동1가),서울특별시 성북구 동선동1가  62번지  ,3070000-101-1998-09514,한식,안동찜닭,82.21,동선동,상수도전용,02 9289381
3070000,2003,10,20030825,20030825,용범이네 인계동껍데기,서울특별시 성북구 동소문로20길 37-22 1층 (동선동1가),서울특별시 성북구 동선동1가  62번지  ,3070000-101-1998-09514,한식,안동찜닭,82.21,동선동,상수도전용,02 9289381
3070000,2003,10,20030825,20030825,곱도리식당,서울특별시 성북구 동소문로20길 37-22 1층 (동선동1가),서울특별시 성북구 동선동1가  62번지  ,3070000-101-1998-09514,한식,안동찜닭,82.21,동선동,상수도전용,02 9289381
3070000,2003,10,20030825,20030825,이모네식당,서울특별시 성북구 동소문로20길 37-22 1층 (동선동1가),서울특별시 성북구 동선동1가  62번지  ,3070000-101-1998-09514,한식,안동찜닭,82.21,동선동,상수도전용,02 9289381
3070000,2003,10,20030825,20030825,은하수식당,서울특별시 성북구 동소문로20길 37-22 1층 (동선동1가),서울특별시 성북구 동선동1가  62번지  ,3070000-101-1998-09514,한식,안동찜닭,82.21,동선동,상수도전용,02 9289381
3070000,2003,10,20030825,20030825,은하수식당,서울특별시 성북구 동소문로20길 37-22 1층 (동선동1가),서울특별시 성북구 동선동1가  62번지  ,3070000-101-1998-09514,한식,안동찜닭,82.21,동선동,상수도전용,02 9289381
3070000,2002,5,20021217,20021217,메밀촌 봉평막국수,서울특별시 성북구 화랑로25길 17 (상월곡동),서울특별시 성북구 상월곡동  7번지 153호  ,3070000-101-1993-00289,한식,만두국,97.15,금호동,상수도전용,02  916 2141
3070000,2001,108,20010601,20010630,금왕돈까스 본점,서울특별시 성북구 성북로 138 (성북동),서울특별시 성북구 성북동  256번지 2호  ,3070000-101-1994-03626,경양식,돈까스,132.24,성북동,상수도전용,207642691
3070000,2001,24,20010601,20010630,큰솥감자탕,서울특별시 성북구 동소문로24길 31 (동선동1가1층),서울특별시 성북구 동선동1가  85번지 38호  1층,3070000-101-1998-02527,한식,돼지갈비,135,동선동,상수도전용,02 9212302
3070000,2001,24,20010601,20010630,큰솥감자탕,서울특별시 성북구 동소문로24길 31 (동선동1가1층),서울특별시 성북구 동선동1가  85번지 38호  1층,3070000-101-1998-02527,한식,돼지갈비,135,동선동,상수도전용,02 9212302
3070000,2001,63,20010601,20010630,꿈꾸는이상,서울특별시 성북구 정릉로 364 (돈암동),서울특별시 성북구 돈암동  12번지 8호  ,3070000-101-1998-02502,한식,돼지갈비,551.98,정릉동,상수도전용,02  925 8700
